Tweet_Id,Datetime,Text,Likes,Retweets,Location
1598464633286836224,2022-12-01 23:50:41+00:00,@Michell33650674 Laughable how your Democratic leaders are silent on sexualizing kids on the Balenciaga issues. Y'all have being marked by the devil to push is evil ideas on the world but Jesus is king 👑 dinning with the devil must be hard.,2,0,Somewhere close to you
1598464603024941056,2022-12-01 23:50:34+00:00,"#NicoleKidman posted this to IG on 11/21/22 Where’s the denunciation? The🐰🕳️ goes deep with this one. When it comes to abusing children, https://t.co/HO7MJK22LA.all! The #SilenceIsDeafening
#Balenciaga
@KimKardashian https://t.co/g4VV5qaPtR",9,3,Someplace Dirty
1598464596251123715,2022-12-01 23:50:32+00:00,"every day i'm more convinced tht planet earth is like the grace field house frm the promised neverland, and the ruling elite and those beyond in the shadows that control them, are the moms/sister krones and the demons tht eat the children. especially with all this balenciaga shit",5,2,"New York, USA"
1598464575522963456,2022-12-01 23:50:27+00:00,Kylie Jenner responds to criticism for posting photos of her children to allegedly cover up for Balenciaga https://t.co/TwmFZz0hsX,0,0,
1598464550533496832,2022-12-01 23:50:21+00:00,@SophRossss She won’t touch that topic just like she won’t cut ties with Balenciaga,3,0,
1598464546435661824,2022-12-01 23:50:20+00:00,"@JackPosobiec Balenciaga means satin is king.
Google it",0,0,
1598464545068040192,2022-12-01 23:50:20+00:00,@5000mountains @SpaceLarouche Looks like degenerate bdsm Balenciaga shit,0,0,CPUSA2036
1598464535106551810,2022-12-01 23:50:17+00:00,@KryptoKardashia @neo__tech @KayleighKay20 @TMZ Love is also calling her out for not denouncing Balenciaga and co signing child paedophilia. #loveiscorrection,1,0,
1598464530711183361,2022-12-01 23:50:16+00:00,“Your girl will not hold it down if the Nigga wearing balenciagas “,0,0,"Sepa, la verga"
1598464381704101893,2022-12-01 23:49:41+00:00,@MeghanMcCain what’s your take on Balenciaga?,2,0,
1598464371650437121,2022-12-01 23:49:38+00:00,"@DonaldJTrumpJr You don’t realize that the average American has no clue who or what Balenciaga is, nor can they afford it. Comparing Goya to Balenciaga is fucking hilarious and shows how out of touch with reality you really are. We’re already boycotting them without having to try",0,0,
1598464360804122624,2022-12-01 23:49:36+00:00,@AngelicaKamen So have you condemned Balenciaga?,1,0,
1598464333255954434,2022-12-01 23:49:29+00:00,@kanyewest @ali Kanye you knew the media was gonna go crazy but at this point you're still working with the Rothschild Cult like your interview with Jones was damage control for the Balenciaga and other things coming to light.,2,0,
1598464331326582785,2022-12-01 23:49:29+00:00,"@Leerose1985 @ExposeRVAAntifa Why would main stream media, celebrities, or sports figures rip into Balenciaga!  They share values.",1,0,PNW
1598464315585331201,2022-12-01 23:49:25+00:00,I can’t be the only one that thinks Balenciaga clothes look hideous?? Another trash chav brand. Oh and they abuse kids so there’s that.,1,0,Saturn
1598464285281341441,2022-12-01 23:49:18+00:00,"To Quote "" Several fashion experts, however, criticized Baal's move to distance itself from Balenciaga. ""We in the fashion industry have served Baal faithfully for years. He doesn't get to back out of this now!"" said fashion director Patrick Picard. ""Baal! Hear us, Baal!""  🤣🤣",2,0,"Texas, USA"
1598464276548800512,2022-12-01 23:49:16+00:00,@PrettySavage856 @DailyLoud I said this too and people said they hold 0 value and a bad meaning which I can completely agree on but let’s be honest. Give it 2 months and everyone’s back to wearing Balenciaga,0,0,"London, England"
1598464256231768064,2022-12-01 23:49:11+00:00,When you realize that Shoe on head and Brittany Venti are doing more to fight the new world order globalists than anyone else.... #Balenciaga,3,2,
1598464233435729920,2022-12-01 23:49:05+00:00,@coolfacejane Most of the people flipping out over Balenciaga probably never heard of Balenciaga until a month ago.,0,0,Pacific North Wet
1598464201529651200,2022-12-01 23:48:58+00:00,@r_rigatony @scrowder This doesn't make Balenciaga less of a cess out of child predators tho. Deflection isn't an argument bud,2,0,
1598464159498506240,2022-12-01 23:48:48+00:00,"Kim allowed her child to be dressed by Balenciaga in a Gimp Mask.  

Freaking disgusting people should not support this fashion brand and they should cut ties but hey it's all about 💰💰💰

 https://t.co/HpJpGJWgM0",1,1,"London, England"
1598464150858092545,2022-12-01 23:48:46+00:00,Someone please explain WHAT in the fresh HELL this IS? #Balenciaga #childtrafficking #whatsinthebag  #savethechildren #WorldCup https://t.co/uAwFAiTMM0,1,0,
1598464139772719104,2022-12-01 23:48:43+00:00,@brelee_22 @nobsie28 @KimKardashian All she needs to do is say she cut ties with Balenciaga?,1,0,"California, USA"
1598464116653522946,2022-12-01 23:48:38+00:00,@DailyLoud Balenciaga gets last laugh as Satanic company burns mans hand off. 😈 🔥 🤚 https://t.co/8YGEwllrSs,0,0,
1598464100220403712,2022-12-01 23:48:34+00:00,"@TheKidBeef @Ballbus09623665 @KimKardashian Research more…it’s all intertwined. François-Henri Pinault, CEO of Balenciaga’s parent company owns an auction site selling child sex mannequins with erect penises, vaginas, and anuses instead of mouths or noses. https://t.co/NW4jjPcsMd…",0,0,"San Diego, CA"
1598464097800318976,2022-12-01 23:48:33+00:00,Balenciaga Womens Open Toe Textured Ankle Strap High Heel Sandals Black Size 38 https://t.co/vRvFxDiAkO eBay,0,0,
1598463991562600456,2022-12-01 23:48:08+00:00,Ok yeah the people behind balenciaga are real life demon worshippers https://t.co/92MQGyT6sJ,15,3,"New York, NY"
1598463985669804033,2022-12-01 23:48:06+00:00,Well you learn something new everyday. @andweknow taught me what the white rabbits are today. I had no idea. The white rabbits grab the children for their satanic rituals. Balenciaga is the rabbit hole. Omg help us.,0,0,"Boulder, CO"
1598463948621320193,2022-12-01 23:47:58+00:00,"Cancel Balenciaga is spreading.
#cancelbalenciaga
#burnbalenciaga https://t.co/m9u5pF7Fzj",0,0,"South Dublin, Ireland"
1598463947887513600,2022-12-01 23:47:57+00:00,@KimKardashian @SnoopDogg So how come you still support Balenciaga? Did you give snoops kids and grand kids a limited edition bondage teddy? I hear they are all the rage with child abusers.,0,0,"Rosebud, Melbourne"
1598463931684642817,2022-12-01 23:47:53+00:00,Lauren Burnham and Arie Luyendyk Jr. Burn Balenciaga Shoes https://t.co/ZknpCH5SvM,0,0,World
