Tweet_Id,Datetime,Text,Likes,Retweets,Location,Cancel,Pedophilia,QAnon,Clean_tweets,Processed_tweets,Sentiment
1598449431615098882,2022-12-01 22:50:16+00:00,"Before Balenciaga
Now hitler Kanye
THEY WANT ORDER OUT OF CHAOS
don’t fall for this Magick",1,0,Other,0,0,0,before balenciaga now hitler kanye they want order out of chaos don’t fall for this magick,hitler kanye want order chaos don’t fall magick,Other
1598449431153725447,2022-12-01 22:50:16+00:00,CEO Of Balenciaga's Parent Company Owns Site That Sells Child Sex Mannequins With Erect Penises On Their Face - Evie Magazine https://t.co/S9a0svl3Nh,1,0,Other,0,0,0,ceo of balenciagas parent company owns site that sells child sex mannequins with erect penises on their face  evie magazine httpstco,ceo balenciaga parent company owns site sell child sex mannequin erect penis face evie magazine httpstco,Other
1598449399507701766,2022-12-01 22:50:09+00:00,I can’t believe celebrities were more outraged at a comedian getting slapped than a brand sexualising children. Absolutely vile #Balenciaga,1,0,Other,0,0,0,i can’t believe celebrities were more outraged at a comedian getting slapped than a brand sexualising children absolutely vile balenciaga,can’t believe celebrity outraged comedian getting slapped brand sexualising child absolutely vile,Other
1598449351952683008,2022-12-01 22:49:57+00:00,@eclipsethis2003 Balenciaga is only the beginning......,2,0,Other,0,0,0, balenciaga is only the beginning,beginning,Other
1598449344235163663,2022-12-01 22:49:56+00:00,@SaycheeseDGTL THEY MAD HE BURNED ALL THAT BALENCIAGA 💩,0,0,Other,0,0,0, they mad he burned all that balenciaga 💩,mad burned 💩,Other
1598449328968044546,2022-12-01 22:49:52+00:00,"@SKUsa11 Denounce #Balenciaga...

We'll wait.",0,0,In hearts and minds.,0,0,0, denounce balenciaga well wait,denounce well wait,Other
1598449314413662230,2022-12-01 22:49:48+00:00,"Hey, all you corpseorations who ""paused"" your Twitter ads on the advice of your ad agency: you don't spoze your ad agency is as hip as Balenciaga's, do ya?",0,0,Laurel Canyon ,0,0,0,hey all you corpseorations who paused your twitter ads on the advice of your ad agency you dont spoze your ad agency is as hip as balenciagas do ya,hey corpseorations paused twitter ad advice ad agency dont spoze ad agency hip balenciaga ya,Other
1598449296210153472,2022-12-01 22:49:44+00:00,"@UtopiaDrol @kanyewest He said a lot of crap today, and he was defending Balenciaga as well.

He may think he's free, but he has strong delusions.",3,0,Other,0,0,0,  he said a lot of crap today and he was defending balenciaga as well he may think hes free but he has strong delusions,said lot crap today defending well may think he free strong delusion,Other
1598449289449320448,2022-12-01 22:49:43+00:00,@ericbolling Goes on Alex Jones wearing a Balenciaga mask saying outrageous things. Trying to figure out how he could draw more attention without lighting himself on fire.,0,0,Other,0,0,0, goes on alex jones wearing a balenciaga mask saying outrageous things trying to figure out how he could draw more attention without lighting himself on fire,go alex jones wearing mask saying outrageous thing trying figure could draw attention without lighting fire,Other
1598449262127616001,2022-12-01 22:49:36+00:00,"@DonaldJTrumpJr I'm lefty and boycotting Balenciaga. 
How about your family?",0,0,Other,0,0,0, im lefty and boycotting balenciaga how about your family,im lefty boycotting family,Other
1598449257182367744,2022-12-01 22:49:35+00:00,"A #Balenciaga #BalenciagaGate 

“Baal is the king” https://t.co/uC7hpjHnBr",0,0,Other,0,0,0,a balenciaga balenciagagate “baal is the king” httpstco,balenciagagate “baal king” httpstco,Other
1598449247279812609,2022-12-01 22:49:32+00:00,"If you think @KingJames point was to single out Jerry then you missed the point. He used the photo to emphasize that minorities, in specific black men, are heavily criticized and covered when they make mistakes or do something controversial. What about @BrettFavre or Balenciaga",3,1,"Dallas, TX",0,0,0,if you think  point was to single out jerry then you missed the point he used the photo to emphasize that minorities in specific black men are heavily criticized and covered when they make mistakes or do something controversial what about  or balenciaga,think point single jerry missed point used photo emphasize minority specific black men heavily criticized covered make mistake something controversial,Other
1598449232821866497,2022-12-01 22:49:29+00:00,"Balenciaga was just caught essentially sexually exploiting children and we are talking about Ye. It's convenient he would come out so suddenly with such extreme beliefs, all the while wearing a Balenciaga mask.",1,0,Other,0,0,0,balenciaga was just caught essentially sexually exploiting children and we are talking about ye its convenient he would come out so suddenly with such extreme beliefs all the while wearing a balenciaga mask,caught essentially sexually exploiting child talking ye convenient would come suddenly extreme belief wearing mask,Other
1598449232658288643,2022-12-01 22:49:29+00:00,Balenciaga is absolutely filthy bro.,0,0,Other,0,0,0,balenciaga is absolutely filthy bro,absolutely filthy bro,Other
1598449218783514625,2022-12-01 22:49:26+00:00,"@ShinyCelebi15 Agree with you. Kinda worried that Ye has either been brainwashed or lost it. Or both. 

He was right about Balenciaga. But not right about Nazis.",0,0,"Baton Rouge, LA",0,0,0, agree with you kinda worried that ye has either been brainwashed or lost it or both he was right about balenciaga but not right about nazis,agree kinda worried ye either brainwashed lost right right nazi,Other
1598449214669090816,2022-12-01 22:49:25+00:00,So south Africans said all the Balenciaga drama doesn't concern them no matter what they won't cut clothes,1,0,Other,0,0,0,so south africans said all the balenciaga drama doesnt concern them no matter what they wont cut clothes,south african said drama doesnt concern matter wont cut clothes,Other
1598449184235048971,2022-12-01 22:49:17+00:00,@TurboThaad Its a balenciaga mask,0,0,deep in a blue hell hole,0,0,0, its a balenciaga mask,mask,Other
1598449167571226624,2022-12-01 22:49:13+00:00,"@ReyCurmudgeon @samanthamarika1 It's sad. Kim might not cancel her partnership with Balenciaga because of pressure, but she will 100% cut Kanye off. That family is so vindictive.",3,0,🌵🌵🌵,0,0,0,  its sad kim might not cancel her panership with balenciaga because of pressure but she will  cut kanye off that family is so vindictive,sad kim might cancel panership pressure cut kanye family vindictive,Other
1598449097685762049,2022-12-01 22:48:57+00:00,THEY always know what THEY are doing…Balenciaga. Panda eye teddy bears dressed for bondage. Bondage jewellery. Children. https://t.co/nOlaa7YC3j,3,0,Land of The Free i.e. Texas!,0,0,0,they always know what they are doing…balenciaga panda eye teddy bears dressed for bondage bondage jewellery children httpstco,always know doing…balenciaga panda eye teddy bear dressed bondage bondage jewellery child httpstco,Other
